Name;Flag
Italy;Italy.png
Cuba;Cuba.png
Belarus;Belarus.png
Afghanistan;Afghanistan.png
Greece;Greece.png
Paraguay;Paraguay.png
Uganda;Uganda.png
Brazil;Brazil.png
Argentina;Argentina.png
France;France.png
Democratic Republic of the Congo;Democratic Republic of the Congo.png
Colombia;Colombia.png
Netherlands;Netherlands.png
Australia;Australia.png
Finland;Finland.png
Somalia;Somalia.png
Bolivia;Bolivia.png
Canada;Canada.png
South Africa;South Africa.png
Sweden;Sweden.png
United States of America;United States of America.png
Turkey;Turkey.png
Czech Republic;Czech Republic.png
Kenya;Kenya.png
Slovakia;Slovakia.png
Croatia;Croatia.png
Spain;Spain.png
Portugal;Portugal.png
Mexico;Mexico.png
New Zealand;New Zealand.png
Scotland;Scotland.png
Papua New Guinea;Papua New Guinea.png
Switzerland;Switzerland.png
Ecuador;Ecuador.png
Sudan;Sudan.png
Iran;Iran.png
Singapore;Singapore.png
Slovenia;Slovenia.png
Kazakhstan;Kazakhstan.png
Peru;Peru.png
Ukraine;Ukraine.png
Germany;Germany.png
Tanzania;Tanzania.png
England;England.png
Ireland;Ireland.png
Denmark;Denmark.png
South Korea;South Korea.png
Kyrgyzstan;Kyrgyzstan.png
Iceland;Iceland.png
Norway;Norway.png
Austria;Austria.png
Laos;Laos.png
Vietnam;Vietnam.png
Uruguay;Uruguay.png
Russia;Russia.png
Chile;Chile.png
Egypt;Egypt.png
China;China.png
Japan;Japan.png
Saudi Arabia;Saudi Arabia.png
Uzbekistan;Uzbekistan.png
Israel;Israel.png
Tonga;Tonga.png
Taiwan;Taiwan.png
